"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-116.98","51.30","GOLDEN A","1173210","1988-01-01","1988","01","01","","-12.5","","-21.4","","-17.0","","35.0","","0.0","","0.0","","0.0","T","0.0","T","14","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-02","1988","01","02","","-10.0","","-14.2","","-12.1","","30.1","","0.0","","0.0","","0.0","T","0.0","T","14","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-03","1988","01","03","","-12.2","","-16.1","","-14.2","","32.2","","0.0","","0.0","","0.0","T","0.0","T","13","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-04","1988","01","04","","-15.2","","-24.8","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-05","1988","01","05","","-17.8","","-27.2","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-06","1988","01","06","","-16.6","","-27.2","","-21.9","","39.9","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-07","1988","01","07","","-16.2","","-26.8","","-21.5","","39.5","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-08","1988","01","08","","-17.8","","-28.1","","-23.0","","41.0","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-09","1988","01","09","","-13.3","","-26.8","","-20.1","","38.1","","0.0","","0.0","","5.0","","5.0","","13","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-10","1988","01","10","","-9.1","","-16.2","","-12.7","","30.7","","0.0","","0.0","","0.0","T","0.0","T","17","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-11","1988","01","11","","-6.6","","-11.8","","-9.2","","27.2","","0.0","","0.0","","0.0","T","0.0","T","16","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-12","1988","01","12","","-6.4","","-16.8","","-11.6","","29.6","","0.0","","0.0","","0.0","T","0.0","T","15","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-13","1988","01","13","","-2.5","","-14.2","","-8.4","","26.4","","0.0","","0.0","","5.0","","5.0","","15","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-14","1988","01","14","","2.5","","-6.7","","-2.1","","20.1","","0.0","","3.4","","4.0","","7.4","","","M","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-15","1988","01","15","","1.2","","-2.0","","-0.4","","18.4","","0.0","","0.0","","1.0","","1.0","","18","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-16","1988","01","16","","0.4","","-9.4","","-4.5","","22.5","","0.0","","0.0","","1.0","","1.0","","17","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-17","1988","01","17","","-2.3","","-12.8","","-7.6","","25.6","","0.0","","0.0","","0.0","T","0.0","T","18","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-18","1988","01","18","","-4.8","","-18.8","","-11.8","","29.8","","0.0","","0.0","","1.0","","1.0","","","M","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-19","1988","01","19","","-8.8","","-22.4","","-15.6","","33.6","","0.0","","0.0","","1.0","","1.0","","18","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-20","1988","01","20","","-4.6","","-14.5","","-9.6","","27.6","","0.0","","0.0","","1.0","","1.0","","","M","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-21","1988","01","21","","-5.4","","-16.4","","-10.9","","28.9","","0.0","","0.0","","0.0","T","0.0","T","20","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-22","1988","01","22","","-2.4","","-12.0","","-7.2","","25.2","","0.0","","0.0","","6.0","","6.0","","","M","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-23","1988","01","23","","-3.2","","-10.6","","-6.9","","24.9","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-24","1988","01","24","","-8.2","","-17.8","","-13.0","","31.0","","0.0","","0.0","","1.0","","1.0","","22","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-25","1988","01","25","","-3.8","","-13.2","","-8.5","","26.5","","0.0","","0.0","","0.0","T","0.0","T","23","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-26","1988","01","26","","-7.4","","-13.4","","-10.4","","28.4","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-27","1988","01","27","","-2.9","","-14.2","","-8.6","","26.6","","0.0","","0.0","","3.0","","3.0","","23","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-28","1988","01","28","","3.8","","-8.2","","-2.2","","20.2","","0.0","","5.0","","0.0","T","5.0","","23","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1988-01-29","1988","01","29","","5.1","","-1.0","","2.1","","15.9","","0.0","","0.6","","0.0","","0.6","","17","","","","",""
