"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-116.98","51.30","GOLDEN A","1173210","2003-01-01","2003","01","01","","-0.7","","-15.0","","-7.9","","25.9","","0.0","","0.0","","1.2","","0.4","","15","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2003-01-02","2003","01","02","","2.7","","-5.0","","-1.2","","19.2","","0.0","","2.4","","4.4","","6.4","","16","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2003-01-03","2003","01","03","","3.9","","-0.1","","1.9","","16.1","","0.0","","1.0","","0.0","","1.0","","16","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2003-01-04","2003","01","04","","1.1","","-2.7","","-0.8","","18.8","","0.0","","0.0","","1.0","","0.8","","12","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2003-01-05","2003","01","05","","-0.1","","-4.6","","-2.4","","20.4","","0.0","","0.0","","0.0","T","0.0","T","13","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2003-01-06","2003","01","06","","-0.8","","-2.7","","-1.8","","19.8","","0.0","","0.0","","0.0","T","0.0","T","13","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2003-01-07","2003","01","07","","0.7","","-2.1","","-0.7","","18.7","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2003-01-08","2003","01","08","","0.0","","-2.4","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2003-01-09","2003","01","09","","-6.2","","-13.2","","-9.7","","27.7","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2003-01-10","2003","01","10","","-6.6","","-13.4","","-10.0","","28.0","","0.0","","0.0","","0.0","T","0.0","T","13","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2003-01-11","2003","01","11","","-8.6","","-15.1","","-11.9","","29.9","","0.0","","0.0","","0.8","","0.6","","13","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2003-01-12","2003","01","12","","-7.0","","-9.6","","-8.3","","26.3","","0.0","","0.0","","4.2","","3.6","","14","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2003-01-13","2003","01","13","","-6.6","","-15.5","","-11.1","","29.1","","0.0","","0.0","","0.4","","0.4","","17","","","","",""
