"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.51","49.47","PRINCETON A","1126510","1978-01-01","1978","01","01","","-14.6","","-24.4","","-19.5","","37.5","","0.0","","0.0","","0.0","T","0.0","T","32","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1978-01-02","1978","01","02","","-17.0","","-26.7","","-21.9","","39.9","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1978-01-03","1978","01","03","","-14.0","","-24.3","","-19.2","","37.2","","0.0","","0.0","","11.7","","11.0","","35","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1978-01-04","1978","01","04","","-13.5","","-16.5","","-15.0","","33.0","","0.0","","0.0","","8.7","","6.0","","50","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1978-01-05","1978","01","05","","-9.8","","-17.5","","-13.7","","31.7","","0.0","","0.0","","0.2","","0.2","","51","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1978-01-06","1978","01","06","","-4.3","","-18.6","","-11.5","","29.5","","0.0","","0.0","","0.0","T","0.0","T","49","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1978-01-07","1978","01","07","","-4.2","","-9.0","","-6.6","","24.6","","0.0","","0.0","","3.0","","2.6","","48","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1978-01-08","1978","01","08","","-2.4","","-8.4","","-5.4","","23.4","","0.0","","0.0","","8.4","","6.0","","49","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1978-01-09","1978","01","09","","-0.8","","-4.8","","-2.8","","20.8","","0.0","","0.0","","0.6","","0.5","","51","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1978-01-10","1978","01","10","","-0.3","","-3.2","","-1.8","","19.8","","0.0","","0.0","","0.0","T","0.0","T","48","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1978-01-11","1978","01","11","","-0.6","","-10.0","","-5.3","","23.3","","0.0","","0.0","","0.0","T","0.0","T","48","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1978-01-12","1978","01","12","","-2.9","","-13.8","","-8.4","","26.4","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
